who_collected,date_collected,notch_id,weight,unit,existing_cage_number,new_cage_number,group,notes,mouse_id,latest_cage,mouse_label,starting_cage_number,dob,species,sex
Taru,2022-05-26,0,18.4,g,22003,NA,bcg,NA,1,22003,Cage: 22003 Notch: 0,22003,2022-04-05,C57BL/6,f
Taru,2022-05-26,1R,17.2,g,22003,NA,bcg,NA,2,22003,Cage: 22003 Notch: 1R,22003,2022-04-05,C57BL/7,f
Taru,2022-05-26,1L,17,g,22003,NA,bcg,NA,3,22003,Cage: 22003 Notch: 1L,22003,2022-04-05,C57BL/8,f
Taru,2022-05-26,1R1L,18.8,g,22003,NA,bcg,L ear ripped,4,22003,Cage: 22003 Notch: 1R1L,22003,2022-04-05,C57BL/9,f
Taru,2022-05-26,0,18.4,g,22004,NA,bcg,NA,5,22004,Cage: 22004 Notch: 0,22004,2022-04-05,C57BL/10,f
Taru,2022-05-26,1R,17.7,g,22004,NA,bcg,NA,6,22004,Cage: 22004 Notch: 1R,22004,2022-04-05,C57BL/11,f
Taru,2022-05-26,1L,20.2,g,22004,NA,bcg,NA,7,22004,Cage: 22004 Notch: 1L,22004,2022-04-05,C57BL/12,f
Taru,2022-05-26,1R1L,17.1,g,22004,NA,bcg,NA,8,22004,Cage: 22004 Notch: 1R1L,22004,2022-04-05,C57BL/13,f
Taru,2022-05-26,0,17.6,g,22005,NA,bcg,NA,9,22005,Cage: 22005 Notch: 0,22005,2022-04-05,C57BL/14,f
Taru,2022-05-26,1R,20,g,22005,NA,bcg,R ear ripped,10,22005,Cage: 22005 Notch: 1R,22005,2022-04-05,C57BL/15,f
Taru,2022-05-26,1L,19.1,g,22005,NA,bcg,NA,11,22005,Cage: 22005 Notch: 1L,22005,2022-04-05,C57BL/16,f
Taru,2022-05-26,1R1L,20.6,g,22005,NA,bcg,NA,12,22005,Cage: 22005 Notch: 1R1L,22005,2022-04-05,C57BL/17,f
Taru,2022-05-26,0,15.2,g,22006,NA,bcg+id93,NA,13,22006,Cage: 22006 Notch: 0,22006,2022-04-05,C57BL/18,f
Taru,2022-05-26,1R,15.5,g,22006,NA,bcg+id93,NA,14,22006,Cage: 22006 Notch: 1R,22006,2022-04-05,C57BL/19,f
Taru,2022-05-26,1L,18,g,22006,NA,bcg+id93,NA,15,22006,Cage: 22006 Notch: 1L,22006,2022-04-05,C57BL/20,f
Taru,2022-05-26,1R1L,17.3,g,22006,NA,bcg+id93,NA,16,22006,Cage: 22006 Notch: 1R1L,22006,2022-04-05,C57BL/21,f
Taru,2022-05-26,0,16.4,g,22007,NA,bcg+id93,NA,17,22007A,Cage: 22007A Notch: 0,22007,2022-04-05,C57BL/22,f
Taru,2022-05-26,1R,16.9,g,22007,NA,bcg+id93,NA,18,22007,Cage: 22007 Notch: 1R,22007,2022-04-05,C57BL/23,f
Taru,2022-05-26,1L,17.7,g,22007,NA,bcg+id93,NA,19,22007,Cage: 22007 Notch: 1L,22007,2022-04-05,C57BL/24,f
Taru,2022-05-26,1R1L,17.5,g,22007,NA,bcg+id93,NA,20,22007,Cage: 22007 Notch: 1R1L,22007,2022-04-05,C57BL/25,f
Taru,2022-05-26,0,18.4,g,22008,NA,bcg+id93,check for groomer,21,22008,Cage: 22008 Notch: 0,22008,2022-04-05,C57BL/26,f
Taru,2022-05-26,1R,17.9,g,22008,NA,bcg+id93,check for groomer,22,22008,Cage: 22008 Notch: 1R,22008,2022-04-05,C57BL/27,f
Taru,2022-05-26,1L,16,g,22008,NA,bcg+id93,check for groomer,23,22008,Cage: 22008 Notch: 1L,22008,2022-04-05,C57BL/28,f
Taru,2022-05-26,1R1L,18.4,g,22008,NA,bcg+id93,check for groomer,24,22008,Cage: 22008 Notch: 1R1L,22008,2022-04-05,C57BL/29,f
Taru,2022-05-26,0,18.6,g,22009,NA,saline,check for groomer,25,22009A,Cage: 22009A Notch: 0,22009,2022-04-05,C57BL/30,f
Taru,2022-05-26,1R,18,g,22009,NA,saline,check for groomer,26,22009,Cage: 22009 Notch: 1R,22009,2022-04-05,C57BL/31,f
Taru,2022-05-26,1L,20.2,g,22009,NA,saline,check for groomer,27,22480,Cage: 22480 Notch: 1L,22009,2022-04-05,C57BL/32,f
Taru,2022-05-26,1R1L,16.3,g,22009,NA,saline,check for groomer,28,22009,Cage: 22009 Notch: 1R1L,22009,2022-04-05,C57BL/33,f
Taru,2022-05-26,0,20.2,g,22010,NA,saline,NA,29,22010,Cage: 22010 Notch: 0,22010,2022-04-05,C57BL/34,f
Taru,2022-05-26,1R,18.5,g,22010,NA,saline,NA,30,22010,Cage: 22010 Notch: 1R,22010,2022-04-05,C57BL/35,f
Taru,2022-05-26,1L,19.4,g,22010,NA,saline,NA,31,22010,Cage: 22010 Notch: 1L,22010,2022-04-05,C57BL/36,f
Taru,2022-05-26,1R1L,19.1,g,22010,NA,saline,NA,32,22010,Cage: 22010 Notch: 1R1L,22010,2022-04-05,C57BL/37,f
Taru,2022-05-26,0,19.2,g,22011,NA,saline,NA,33,22011,Cage: 22011 Notch: 0,22011,2022-04-05,C57BL/38,f
Taru,2022-05-26,1R,15.8,g,22011,NA,saline,NA,34,22011,Cage: 22011 Notch: 1R,22011,2022-04-05,C57BL/39,f
Taru,2022-05-26,1L,20.5,g,22011,NA,saline,NA,35,22011,Cage: 22011 Notch: 1L,22011,2022-04-05,C57BL/40,f
Taru,2022-05-26,1R1L,16.2,g,22011,NA,saline,NA,36,22011,Cage: 22011 Notch: 1R1L,22011,2022-04-05,C57BL/41,f
Taru,2022-05-26,0,19.5,g,22012,NA,saline+id93,NA,37,22012,Cage: 22012 Notch: 0,22012,2022-04-05,C57BL/42,f
Taru,2022-05-26,1R,18.8,g,22012,NA,saline+id93,NA,38,22012,Cage: 22012 Notch: 1R,22012,2022-04-05,C57BL/43,f
Taru,2022-05-26,1L,19.5,g,22012,NA,saline+id93,NA,39,22012A,Cage: 22012A Notch: 1L,22012,2022-04-05,C57BL/44,f
Taru,2022-05-26,1R1L,19.1,g,22012,NA,saline+id93,NA,40,22012,Cage: 22012 Notch: 1R1L,22012,2022-04-05,C57BL/45,f
Taru,2022-05-26,0,16.4,g,22013,NA,saline+id93,NA,41,22013A,Cage: 22013A Notch: 0,22013,2022-04-05,C57BL/46,f
Taru,2022-05-26,1R,19.8,g,22013,NA,saline+id93,NA,42,22013,Cage: 22013 Notch: 1R,22013,2022-04-05,C57BL/47,f
Taru,2022-05-26,1L,18.1,g,22013,NA,saline+id93,NA,43,22013B,Cage: 22013B Notch: 1L,22013,2022-04-05,C57BL/48,f
Taru,2022-05-26,1R1L,16.9,g,22013,NA,saline+id93,L ear ripped,44,22013C,Cage: 22013C Notch: 1R1L,22013,2022-04-05,C57BL/49,f
Taru,2022-05-26,0,16.6,g,22014,NA,saline+id93,NA,45,22014,Cage: 22014 Notch: 0,22014,2022-04-05,C57BL/50,f
Taru,2022-05-26,1R,18.56,g,22014,NA,saline+id93,NA,46,22014,Cage: 22014 Notch: 1R,22014,2022-04-05,C57BL/51,f
Taru,2022-05-26,1L,17.6,g,22014,NA,saline+id93,NA,47,22014,Cage: 22014 Notch: 1L,22014,2022-04-05,C57BL/52,f
Taru,2022-05-26,1R1L,18.3,g,22014,NA,saline+id93,NA,48,22014,Cage: 22014 Notch: 1R1L,22014,2022-04-05,C57BL/53,f
Taru,2022-05-26,0,18.1,g,F#1Saline,NA,saline+noMtb,Temp Cage Card,49,22474,Cage: 22474 Notch: 0,F#1Saline,2022-04-05,C57BL/54,f
Taru,2022-05-26,1R,20.9,g,F#1Saline,NA,saline+noMtb,Temp Cage Card,50,22474,Cage: 22474 Notch: 1R,F#1Saline,2022-04-05,C57BL/55,f
