,Freq. of Parent (%),Leukocytes | Freq. of Parent (%),Leukocytes | Freq. of LIVE (%),Leukocytes/Single Cells | Freq. of Parent (%),Leukocytes/Single Cells | Freq. of LIVE (%),Leukocytes/Single Cells/LIVE | Freq. of Parent (%),Leukocytes/Single Cells/LIVE | Freq. of LIVE (%),Leukocytes/Single Cells/LIVE/CD3+ | Freq. of Parent (%),Leukocytes/Single Cells/LIVE/CD3+ | Freq. of LIVE (%),Leukocytes/Single Cells/LIVE/CD3+/CD4+ | Freq. of Parent (%),Leukocytes/Single Cells/LIVE/CD3+/CD4+ | Freq. of LIVE (%),"Leukocytes/Single Cells/LIVE/CD3+/CD4+/Q1: CD62L- , CD44+ | Freq. of Parent (%)","Leukocytes/Single Cells/LIVE/CD3+/CD4+/Q1: CD62L- , CD44+ | Freq. of LIVE (%)","Leukocytes/Single Cells/LIVE/CD3+/CD4+/Q1: CD62L- , CD44+/Q1: PD1- , KLRG1+ | Freq. of Parent (%)","Leukocytes/Single Cells/LIVE/CD3+/CD4+/Q1: CD62L- , CD44+/Q1: PD1- , KLRG1+ | Freq. of LIVE (%)","Leukocytes/Single Cells/LIVE/CD3+/CD4+/Q1: CD62L- , CD44+/Q2: PD1+ , KLRG1+ | Freq. of Parent (%)","Leukocytes/Single Cells/LIVE/CD3+/CD4+/Q1: CD62L- , CD44+/Q2: PD1+ , KLRG1+ | Freq. of LIVE (%)","Leukocytes/Single Cells/LIVE/CD3+/CD4+/Q1: CD62L- , CD44+/Q3: PD1+ , KLRG1- | Freq. of Parent (%)","Leukocytes/Single Cells/LIVE/CD3+/CD4+/Q1: CD62L- , CD44+/Q3: PD1+ , KLRG1- | Freq. of LIVE (%)","Leukocytes/Single Cells/LIVE/CD3+/CD4+/Q1: CD62L- , CD44+/Q4: PD1- , KLRG1- | Freq. of Parent (%)","Leukocytes/Single Cells/LIVE/CD3+/CD4+/Q1: CD62L- , CD44+/Q4: PD1- , KLRG1- | Freq. of LIVE (%)","Leukocytes/Single Cells/LIVE/CD3+/CD4+/Q2: CD62L+ , CD44+ | Freq. of Parent (%)","Leukocytes/Single Cells/LIVE/CD3+/CD4+/Q2: CD62L+ , CD44+ | Freq. of LIVE (%)","Leukocytes/Single Cells/LIVE/CD3+/CD4+/Q3: CD62L+ , CD44- | Freq. of Parent (%)","Leukocytes/Single Cells/LIVE/CD3+/CD4+/Q3: CD62L+ , CD44- | Freq. of LIVE (%)","Leukocytes/Single Cells/LIVE/CD3+/CD4+/Q3: CD62L+ , CD44-/Q1: PD1- , KLRG1+ | Freq. of Parent (%)","Leukocytes/Single Cells/LIVE/CD3+/CD4+/Q3: CD62L+ , CD44-/Q1: PD1- , KLRG1+ | Freq. of LIVE (%)","Leukocytes/Single Cells/LIVE/CD3+/CD4+/Q3: CD62L+ , CD44-/Q2: PD1+ , KLRG1+ | Freq. of Parent (%)","Leukocytes/Single Cells/LIVE/CD3+/CD4+/Q3: CD62L+ , CD44-/Q2: PD1+ , KLRG1+ | Freq. of LIVE (%)","Leukocytes/Single Cells/LIVE/CD3+/CD4+/Q3: CD62L+ , CD44-/Q3: PD1+ , KLRG1- | Freq. of Parent (%)","Leukocytes/Single Cells/LIVE/CD3+/CD4+/Q3: CD62L+ , CD44-/Q3: PD1+ , KLRG1- | Freq. of LIVE (%)","Leukocytes/Single Cells/LIVE/CD3+/CD4+/Q3: CD62L+ , CD44-/Q4: PD1- , KLRG1- | Freq. of Parent (%)","Leukocytes/Single Cells/LIVE/CD3+/CD4+/Q3: CD62L+ , CD44-/Q4: PD1- , KLRG1- | Freq. of LIVE (%)","Leukocytes/Single Cells/LIVE/CD3+/CD4+/Q4: CD62L- , CD44- | Freq. of Parent (%)","Leukocytes/Single Cells/LIVE/CD3+/CD4+/Q4: CD62L- , CD44- | Freq. of LIVE (%)",Leukocytes/Single Cells/LIVE/CD3+/CD8+ | Freq. of Parent (%),Leukocytes/Single Cells/LIVE/CD3+/CD8+ | Freq. of LIVE (%),"Leukocytes/Single Cells/LIVE/CD3+/CD8+/Q1: CD62L- , CD44+ | Freq. of Parent (%)","Leukocytes/Single Cells/LIVE/CD3+/CD8+/Q1: CD62L- , CD44+ | Freq. of LIVE (%)","Leukocytes/Single Cells/LIVE/CD3+/CD8+/Q1: CD62L- , CD44+/Q1: PD1- , KLRG1+ | Freq. of Parent (%)","Leukocytes/Single Cells/LIVE/CD3+/CD8+/Q1: CD62L- , CD44+/Q1: PD1- , KLRG1+ | Freq. of LIVE (%)","Leukocytes/Single Cells/LIVE/CD3+/CD8+/Q1: CD62L- , CD44+/Q2: PD1+ , KLRG1+ | Freq. of Parent (%)","Leukocytes/Single Cells/LIVE/CD3+/CD8+/Q1: CD62L- , CD44+/Q2: PD1+ , KLRG1+ | Freq. of LIVE (%)","Leukocytes/Single Cells/LIVE/CD3+/CD8+/Q1: CD62L- , CD44+/Q3: PD1+ , KLRG1- | Freq. of Parent (%)","Leukocytes/Single Cells/LIVE/CD3+/CD8+/Q1: CD62L- , CD44+/Q3: PD1+ , KLRG1- | Freq. of LIVE (%)","Leukocytes/Single Cells/LIVE/CD3+/CD8+/Q1: CD62L- , CD44+/Q4: PD1- , KLRG1- | Freq. of Parent (%)","Leukocytes/Single Cells/LIVE/CD3+/CD8+/Q1: CD62L- , CD44+/Q4: PD1- , KLRG1- | Freq. of LIVE (%)","Leukocytes/Single Cells/LIVE/CD3+/CD8+/Q2: CD62L+ , CD44+ | Freq. of Parent (%)","Leukocytes/Single Cells/LIVE/CD3+/CD8+/Q2: CD62L+ , CD44+ | Freq. of LIVE (%)","Leukocytes/Single Cells/LIVE/CD3+/CD8+/Q3: CD62L+ , CD44- | Freq. of Parent (%)","Leukocytes/Single Cells/LIVE/CD3+/CD8+/Q3: CD62L+ , CD44- | Freq. of LIVE (%)","Leukocytes/Single Cells/LIVE/CD3+/CD8+/Q3: CD62L+ , CD44-/Q1: PD1- , KLRG1+ | Freq. of Parent (%)","Leukocytes/Single Cells/LIVE/CD3+/CD8+/Q3: CD62L+ , CD44-/Q1: PD1- , KLRG1+ | Freq. of LIVE (%)","Leukocytes/Single Cells/LIVE/CD3+/CD8+/Q3: CD62L+ , CD44-/Q2: PD1+ , KLRG1+ | Freq. of Parent (%)","Leukocytes/Single Cells/LIVE/CD3+/CD8+/Q3: CD62L+ , CD44-/Q2: PD1+ , KLRG1+ | Freq. of LIVE (%)","Leukocytes/Single Cells/LIVE/CD3+/CD8+/Q3: CD62L+ , CD44-/Q3: PD1+ , KLRG1- | Freq. of Parent (%)","Leukocytes/Single Cells/LIVE/CD3+/CD8+/Q3: CD62L+ , CD44-/Q3: PD1+ , KLRG1- | Freq. of LIVE (%)","Leukocytes/Single Cells/LIVE/CD3+/CD8+/Q3: CD62L+ , CD44-/Q4: PD1- , KLRG1- | Freq. of Parent (%)","Leukocytes/Single Cells/LIVE/CD3+/CD8+/Q3: CD62L+ , CD44-/Q4: PD1- , KLRG1- | Freq. of LIVE (%)","Leukocytes/Single Cells/LIVE/CD3+/CD8+/Q4: CD62L- , CD44- | Freq. of Parent (%)","Leukocytes/Single Cells/LIVE/CD3+/CD8+/Q4: CD62L- , CD44- | Freq. of LIVE (%)",
A1 Saline_1.fcs,100,71.1,n/a,94.8,n/a,80.5,100,30.0,30.0,47.0,14.1,36.8,5.19,8.15,0.42,4.58,0.24,36.1,1.87,51.2,2.66,5.10,0.72,27.6,3.90,0.12,4.82E-3,0.37,0.014,4.88,0.19,94.6,3.69,30.5,4.30,29.6,8.87,2.55,0.23,6.38,0.014,5.85,0.013,60.6,0.14,27.1,0.061,0.58,0.052,58.9,5.22,1.13,0.059,0.23,0.012,1.75,0.092,96.9,5.06,38.0,3.37,
A2 Saline_2.fcs,100,92.9,n/a,92.5,n/a,92.8,100,29.5,29.5,41.8,12.4,20.0,2.47,1.64,0.040,3.04,0.075,47.9,1.18,47.4,1.17,5.85,0.72,41.6,5.14,0.32,0.016,0.090,4.62E-3,4.70,0.24,94.9,4.87,32.6,4.03,36.3,10.7,0.42,0.045,10.3,4.62E-3,7.69,3.47E-3,56.4,0.025,25.6,0.012,0.18,0.020,68.6,7.36,0.52,0.038,0.20,0.015,1.32,0.097,98.0,7.21,30.8,3.31,
A3 Saline_3.fcs,100,58.5,n/a,93.1,n/a,81.8,100,26.7,26.7,47.4,12.6,38.5,4.86,2.27,0.11,2.24,0.11,42.3,2.06,53.2,2.59,2.63,0.33,15.9,2.01,0.44,8.78E-3,0.69,0.014,5.74,0.12,93.1,1.87,43.0,5.43,20.7,5.53,1.02,0.056,6.67,3.76E-3,0,0,71.1,0.040,22.2,0.013,0.29,0.016,56.7,3.14,0.72,0.023,0.080,2.51E-3,3.04,0.095,96.2,3.02,42.0,2.32,
A4 Saline_4.fcs,100,49.9,n/a,92.9,n/a,68.7,100,17.2,17.2,41.9,7.20,41.6,3.00,5.09,0.15,2.35,0.070,34.3,1.03,58.2,1.74,5.74,0.41,28.8,2.08,0.071,1.47E-3,0.14,2.93E-3,5.93,0.12,93.9,1.95,23.8,1.71,26.3,4.52,4.64,0.21,4.90,0.010,6.99,0.015,68.5,0.14,19.6,0.041,0.94,0.043,55.8,2.52,0.81,0.021,0.17,4.40E-3,2.62,0.066,96.4,2.43,38.6,1.75,
B1 BCG_1.fcs,100,76.8,n/a,94.8,n/a,81.6,100,43.2,43.2,57.7,24.9,59.3,14.8,26.4,3.90,13.2,1.95,22.1,3.27,38.3,5.67,1.96,0.49,9.63,2.40,0.84,0.020,0.26,6.30E-3,2.31,0.055,96.6,2.32,29.1,7.25,17.4,7.52,4.27,0.32,23.5,0.076,6.27,0.020,18.4,0.059,51.8,0.17,0.75,0.057,54.4,4.09,3.20,0.13,0.15,6.30E-3,1.78,0.073,94.9,3.88,40.5,3.05,
B2 BCG_2.fcs,100,82.9,n/a,94.3,n/a,94.1,100,11.7,11.7,55.0,6.42,22.6,1.45,15.4,0.22,4.80,0.070,21.1,0.31,58.6,0.85,3.99,0.26,42.4,2.72,0.59,0.016,0.16,4.29E-3,1.77,0.048,97.5,2.65,31.0,1.99,28.1,3.28,1.77,0.058,33.3,0.019,1.85,1.07E-3,14.8,8.58E-3,50.0,0.029,0.29,9.65E-3,86.3,2.83,0.61,0.017,0.038,1.07E-3,0.61,0.017,98.7,2.79,11.7,0.38,
B3 BCG_3.fcs,100,67.7,n/a,95.2,n/a,78.4,100,24.1,24.1,56.1,13.5,33.9,4.59,21.1,0.97,5.84,0.27,18.5,0.85,54.6,2.50,2.01,0.27,17.0,2.30,1.01,0.023,0.17,3.87E-3,2.92,0.067,95.9,2.20,47.1,6.36,22.6,5.43,3.84,0.21,24.1,0.050,3.09,6.44E-3,20.4,0.043,52.5,0.11,0.47,0.026,43.9,2.39,4.96,0.12,0.16,3.87E-3,1.24,0.030,93.6,2.24,51.7,2.81,
B4 BCG_4.fcs,100,59.0,n/a,95.1,n/a,72.5,100,41.2,41.2,58.1,24.0,42.4,10.2,23.6,2.40,6.89,0.70,21.3,2.16,48.2,4.90,2.45,0.59,13.7,3.28,0.95,0.031,0.50,0.016,4.05,0.13,94.5,3.10,41.5,9.93,21.1,8.70,2.07,0.18,28.6,0.051,9.02,0.016,21.1,0.038,41.4,0.074,0.53,0.046,46.4,4.04,4.83,0.19,0.17,6.77E-3,1.88,0.076,93.1,3.76,51.0,4.44,
C1 ID93_1.fcs,100,68.3,n/a,94.3,n/a,80.6,100,38.9,38.9,62.3,24.2,49.1,11.9,12.1,1.44,7.76,0.92,32.2,3.83,48.0,5.70,2.17,0.53,9.03,2.19,1.58,0.034,0.70,0.015,5.20,0.11,92.5,2.02,39.7,9.61,21.6,8.41,1.74,0.15,5.22,7.66E-3,6.09,8.93E-3,53.0,0.078,35.7,0.052,0.53,0.045,58.5,4.92,2.85,0.14,0.36,0.018,2.13,0.10,94.7,4.66,39.2,3.30,
C2 ID93_2.fcs,100,63.6,n/a,93.1,n/a,75.7,100,34.2,34.2,55.3,18.9,53.3,10.1,7.10,0.72,6.11,0.62,44.8,4.52,42.0,4.23,4.90,0.93,20.6,3.89,0.46,0.018,0.39,0.015,3.94,0.15,95.2,3.70,21.2,4.01,26.7,9.11,2.08,0.19,9.35,0.018,12.2,0.023,41.7,0.079,36.7,0.070,1.41,0.13,67.0,6.11,1.01,0.061,0.25,0.015,2.84,0.17,95.9,5.86,29.5,2.69,
C3 ID93_3.fcs,100,68.9,n/a,94.4,n/a,74.0,100,39.7,39.7,62.3,24.7,57.6,14.2,4.99,0.71,3.60,0.51,49.1,6.99,42.3,6.01,4.18,1.03,12.1,3.00,0.83,0.025,0.37,0.011,3.70,0.11,95.1,2.85,26.1,6.46,23.6,9.36,2.64,0.25,14.6,0.036,9.55,0.024,28.1,0.069,47.8,0.12,0.98,0.092,57.8,5.41,3.84,0.21,0.21,0.011,3.13,0.17,92.8,5.02,38.6,3.61,
C4 ID93_4.fcs,100,60.9,n/a,94.5,n/a,76.0,100,30.6,30.6,57.6,17.6,51.3,9.02,4.31,0.39,4.64,0.42,47.2,4.26,43.8,3.95,4.98,0.88,20.8,3.66,0.44,0.016,0.26,9.39E-3,4.65,0.17,94.7,3.47,22.9,4.04,24.5,7.49,2.78,0.21,5.16,0.011,11.0,0.023,58.1,0.12,25.8,0.054,0.54,0.040,67.1,5.02,1.58,0.079,0.32,0.016,4.19,0.21,93.9,4.72,29.6,2.22,
D1 BCG+ID93_1.fcs,100,68.7,n/a,95.6,n/a,79.0,100,24.7,24.7,60.3,14.9,58.3,8.68,15.5,1.34,8.49,0.74,29.9,2.59,46.1,4.00,3.16,0.47,14.9,2.22,0.76,0.017,0.31,6.99E-3,4.60,0.10,94.3,2.09,23.6,3.52,22.7,5.59,3.82,0.21,15.0,0.032,5.23,0.011,28.1,0.060,51.6,0.11,0.87,0.049,60.7,3.40,1.89,0.064,0.37,0.013,2.88,0.098,94.9,3.22,34.6,1.93,
