,Freq. of Parent (%),Leukocytes | Freq. of Parent (%),Leukocytes | Freq. of LIVE (%),Leukocytes/Single Cells | Freq. of Parent (%),Leukocytes/Single Cells | Freq. of LIVE (%),Leukocytes/Single Cells/LIVE | Freq. of Parent (%),Leukocytes/Single Cells/LIVE | Freq. of LIVE (%),Leukocytes/Single Cells/LIVE/CD3+ | Freq. of Parent (%),Leukocytes/Single Cells/LIVE/CD3+ | Freq. of LIVE (%),Leukocytes/Single Cells/LIVE/CD3+/CD4+ | Freq. of Parent (%),Leukocytes/Single Cells/LIVE/CD3+/CD4+ | Freq. of LIVE (%),"Leukocytes/Single Cells/LIVE/CD3+/CD4+/Q1: CD62L- , CD44+ | Freq. of Parent (%)","Leukocytes/Single Cells/LIVE/CD3+/CD4+/Q1: CD62L- , CD44+ | Freq. of LIVE (%)","Leukocytes/Single Cells/LIVE/CD3+/CD4+/Q1: CD62L- , CD44+/Q1: PD1- , KLRG1+ | Freq. of Parent (%)","Leukocytes/Single Cells/LIVE/CD3+/CD4+/Q1: CD62L- , CD44+/Q1: PD1- , KLRG1+ | Freq. of LIVE (%)","Leukocytes/Single Cells/LIVE/CD3+/CD4+/Q1: CD62L- , CD44+/Q2: PD1+ , KLRG1+ | Freq. of Parent (%)","Leukocytes/Single Cells/LIVE/CD3+/CD4+/Q1: CD62L- , CD44+/Q2: PD1+ , KLRG1+ | Freq. of LIVE (%)","Leukocytes/Single Cells/LIVE/CD3+/CD4+/Q1: CD62L- , CD44+/Q3: PD1+ , KLRG1- | Freq. of Parent (%)","Leukocytes/Single Cells/LIVE/CD3+/CD4+/Q1: CD62L- , CD44+/Q3: PD1+ , KLRG1- | Freq. of LIVE (%)","Leukocytes/Single Cells/LIVE/CD3+/CD4+/Q1: CD62L- , CD44+/Q4: PD1- , KLRG1- | Freq. of Parent (%)","Leukocytes/Single Cells/LIVE/CD3+/CD4+/Q1: CD62L- , CD44+/Q4: PD1- , KLRG1- | Freq. of LIVE (%)","Leukocytes/Single Cells/LIVE/CD3+/CD4+/Q2: CD62L+ , CD44+ | Freq. of Parent (%)","Leukocytes/Single Cells/LIVE/CD3+/CD4+/Q2: CD62L+ , CD44+ | Freq. of LIVE (%)","Leukocytes/Single Cells/LIVE/CD3+/CD4+/Q3: CD62L+ , CD44- | Freq. of Parent (%)","Leukocytes/Single Cells/LIVE/CD3+/CD4+/Q3: CD62L+ , CD44- | Freq. of LIVE (%)","Leukocytes/Single Cells/LIVE/CD3+/CD4+/Q3: CD62L+ , CD44-/Q1: PD1- , KLRG1+ | Freq. of Parent (%)","Leukocytes/Single Cells/LIVE/CD3+/CD4+/Q3: CD62L+ , CD44-/Q1: PD1- , KLRG1+ | Freq. of LIVE (%)","Leukocytes/Single Cells/LIVE/CD3+/CD4+/Q3: CD62L+ , CD44-/Q2: PD1+ , KLRG1+ | Freq. of Parent (%)","Leukocytes/Single Cells/LIVE/CD3+/CD4+/Q3: CD62L+ , CD44-/Q2: PD1+ , KLRG1+ | Freq. of LIVE (%)","Leukocytes/Single Cells/LIVE/CD3+/CD4+/Q3: CD62L+ , CD44-/Q3: PD1+ , KLRG1- | Freq. of Parent (%)","Leukocytes/Single Cells/LIVE/CD3+/CD4+/Q3: CD62L+ , CD44-/Q3: PD1+ , KLRG1- | Freq. of LIVE (%)","Leukocytes/Single Cells/LIVE/CD3+/CD4+/Q3: CD62L+ , CD44-/Q4: PD1- , KLRG1- | Freq. of Parent (%)","Leukocytes/Single Cells/LIVE/CD3+/CD4+/Q3: CD62L+ , CD44-/Q4: PD1- , KLRG1- | Freq. of LIVE (%)","Leukocytes/Single Cells/LIVE/CD3+/CD4+/Q4: CD62L- , CD44- | Freq. of Parent (%)","Leukocytes/Single Cells/LIVE/CD3+/CD4+/Q4: CD62L- , CD44- | Freq. of LIVE (%)",Leukocytes/Single Cells/LIVE/CD3+/CD8+ | Freq. of Parent (%),Leukocytes/Single Cells/LIVE/CD3+/CD8+ | Freq. of LIVE (%),"Leukocytes/Single Cells/LIVE/CD3+/CD8+/Q1: CD62L- , CD44+ | Freq. of Parent (%)","Leukocytes/Single Cells/LIVE/CD3+/CD8+/Q1: CD62L- , CD44+ | Freq. of LIVE (%)","Leukocytes/Single Cells/LIVE/CD3+/CD8+/Q1: CD62L- , CD44+/Q1: PD1- , KLRG1+ | Freq. of Parent (%)","Leukocytes/Single Cells/LIVE/CD3+/CD8+/Q1: CD62L- , CD44+/Q1: PD1- , KLRG1+ | Freq. of LIVE (%)","Leukocytes/Single Cells/LIVE/CD3+/CD8+/Q1: CD62L- , CD44+/Q2: PD1+ , KLRG1+ | Freq. of Parent (%)","Leukocytes/Single Cells/LIVE/CD3+/CD8+/Q1: CD62L- , CD44+/Q2: PD1+ , KLRG1+ | Freq. of LIVE (%)","Leukocytes/Single Cells/LIVE/CD3+/CD8+/Q1: CD62L- , CD44+/Q3: PD1+ , KLRG1- | Freq. of Parent (%)","Leukocytes/Single Cells/LIVE/CD3+/CD8+/Q1: CD62L- , CD44+/Q3: PD1+ , KLRG1- | Freq. of LIVE (%)","Leukocytes/Single Cells/LIVE/CD3+/CD8+/Q1: CD62L- , CD44+/Q4: PD1- , KLRG1- | Freq. of Parent (%)","Leukocytes/Single Cells/LIVE/CD3+/CD8+/Q1: CD62L- , CD44+/Q4: PD1- , KLRG1- | Freq. of LIVE (%)","Leukocytes/Single Cells/LIVE/CD3+/CD8+/Q2: CD62L+ , CD44+ | Freq. of Parent (%)","Leukocytes/Single Cells/LIVE/CD3+/CD8+/Q2: CD62L+ , CD44+ | Freq. of LIVE (%)","Leukocytes/Single Cells/LIVE/CD3+/CD8+/Q3: CD62L+ , CD44- | Freq. of Parent (%)","Leukocytes/Single Cells/LIVE/CD3+/CD8+/Q3: CD62L+ , CD44- | Freq. of LIVE (%)","Leukocytes/Single Cells/LIVE/CD3+/CD8+/Q3: CD62L+ , CD44-/Q1: PD1- , KLRG1+ | Freq. of Parent (%)","Leukocytes/Single Cells/LIVE/CD3+/CD8+/Q3: CD62L+ , CD44-/Q1: PD1- , KLRG1+ | Freq. of LIVE (%)","Leukocytes/Single Cells/LIVE/CD3+/CD8+/Q3: CD62L+ , CD44-/Q2: PD1+ , KLRG1+ | Freq. of Parent (%)","Leukocytes/Single Cells/LIVE/CD3+/CD8+/Q3: CD62L+ , CD44-/Q2: PD1+ , KLRG1+ | Freq. of LIVE (%)","Leukocytes/Single Cells/LIVE/CD3+/CD8+/Q3: CD62L+ , CD44-/Q3: PD1+ , KLRG1- | Freq. of Parent (%)","Leukocytes/Single Cells/LIVE/CD3+/CD8+/Q3: CD62L+ , CD44-/Q3: PD1+ , KLRG1- | Freq. of LIVE (%)","Leukocytes/Single Cells/LIVE/CD3+/CD8+/Q3: CD62L+ , CD44-/Q4: PD1- , KLRG1- | Freq. of Parent (%)","Leukocytes/Single Cells/LIVE/CD3+/CD8+/Q3: CD62L+ , CD44-/Q4: PD1- , KLRG1- | Freq. of LIVE (%)","Leukocytes/Single Cells/LIVE/CD3+/CD8+/Q4: CD62L- , CD44- | Freq. of Parent (%)","Leukocytes/Single Cells/LIVE/CD3+/CD8+/Q4: CD62L- , CD44- | Freq. of LIVE (%)",
A1 Saline_1.fcs,100,60.4,n/a,94.1,n/a,88.9,100,42.1,42.1,53.9,22.7,37.7,8.55,12.5,1.07,5.91,0.51,23.9,2.05,57.7,4.93,0.59,0.13,5.08,1.15,2.85,0.033,1.43,0.016,8.87,0.10,86.9,1.00,56.6,12.8,32.2,13.5,53.8,7.29,32.4,2.36,7.51,0.55,17.9,1.30,42.2,3.08,2.62,0.35,7.98,1.08,6.95,0.075,0.65,7.05E-3,3.37,0.036,89.0,0.96,35.6,4.82,
A2 Saline_2.fcs,100,62.6,n/a,95.2,n/a,88.1,100,36.7,36.7,47.4,17.4,37.4,6.50,11.5,0.75,4.05,0.26,19.9,1.29,64.6,4.20,0.85,0.15,11.1,1.93,1.15,0.022,0.85,0.016,4.54,0.088,93.5,1.80,50.7,8.82,33.9,12.4,47.2,5.88,32.4,1.91,7.28,0.43,15.6,0.92,44.7,2.63,6.03,0.75,13.1,1.63,3.72,0.061,0.29,4.67E-3,2.00,0.033,94.0,1.53,33.6,4.18,
A3 Saline_3.fcs,100,59.6,n/a,95.8,n/a,91.0,100,32.9,32.9,51.8,17.0,33.0,5.62,12.7,0.71,3.23,0.18,16.4,0.92,67.7,3.80,0.75,0.13,9.27,1.58,2.66,0.042,1.00,0.016,5.00,0.079,91.3,1.44,57.0,9.72,32.2,10.6,40.0,4.23,30.1,1.27,5.63,0.24,12.2,0.52,52.0,2.20,4.35,0.46,13.6,1.44,5.64,0.081,0.073,1.05E-3,1.47,0.021,92.8,1.33,42.1,4.45,
A4 Saline_4.fcs,100,66.3,n/a,96.5,n/a,93.2,100,36.0,36.0,51.3,18.4,25.6,4.73,11.4,0.54,3.53,0.17,19.2,0.91,65.9,3.11,0.51,0.094,15.7,2.90,0.90,0.026,1.30,0.038,2.92,0.084,94.9,2.75,58.1,10.7,33.5,12.0,40.8,4.91,40.0,1.96,5.57,0.27,7.82,0.38,46.6,2.29,3.61,0.43,17.4,2.10,2.74,0.057,0.15,3.13E-3,2.14,0.045,95.0,1.99,38.2,4.59,
B1 BCG_1.fcs,100,60.8,n/a,96.3,n/a,88.5,100,28.5,28.5,50.0,14.2,37.9,5.40,11.0,0.59,5.50,0.30,27.9,1.51,55.6,3.00,1.24,0.18,13.7,1.95,1.00,0.020,0.83,0.016,4.00,0.078,94.2,1.84,47.1,6.71,31.9,9.08,42.5,3.86,26.1,1.01,6.71,0.26,23.4,0.90,43.7,1.69,14.8,1.35,19.7,1.79,1.09,0.020,0,0,1.33,0.024,97.6,1.75,23.0,2.08,
B2 BCG_2.fcs,100,59.4,n/a,96.2,n/a,89.7,100,32.7,32.7,48.2,15.8,35.5,5.60,13.4,0.75,3.32,0.19,18.9,1.06,64.4,3.60,1.17,0.18,14.2,2.23,1.62,0.036,0.96,0.021,5.02,0.11,92.4,2.06,49.2,7.76,36.0,11.8,41.1,4.83,30.6,1.48,5.03,0.24,15.4,0.75,48.9,2.36,10.2,1.20,17.8,2.10,3.71,0.078,0.25,5.33E-3,1.78,0.037,94.3,1.98,30.9,3.64,
B3 BCG_3.fcs,100,60.0,n/a,96.1,n/a,89.9,100,32.9,32.9,48.3,15.9,36.6,5.81,14.8,0.86,3.42,0.20,17.8,1.03,64.0,3.72,1.03,0.16,11.9,1.89,1.59,0.030,0.85,0.016,3.52,0.066,94.0,1.77,50.5,8.03,36.1,11.9,41.2,4.89,34.9,1.71,6.01,0.29,12.8,0.63,46.3,2.26,11.3,1.34,16.4,1.95,4.28,0.083,0.055,1.07E-3,1.54,0.030,94.1,1.84,31.1,3.69,
B4 BCG_4.fcs,100,69.7,n/a,95.9,n/a,92.2,100,34.7,34.7,45.2,15.7,24.2,3.79,9.26,0.35,2.79,0.11,19.7,0.75,68.3,2.59,0.60,0.094,8.65,1.36,1.67,0.023,1.19,0.016,7.56,0.10,89.6,1.21,66.6,10.4,37.1,12.9,34.1,4.39,50.8,2.23,8.68,0.38,10.1,0.44,30.4,1.33,4.31,0.55,12.3,1.59,5.85,0.093,0.48,7.56E-3,4.49,0.071,89.2,1.42,49.2,6.33,
C1 ID93_1.fcs,100,58.0,n/a,95.2,n/a,84.8,100,36.9,36.9,46.2,17.1,33.0,5.64,10.4,0.58,3.04,0.17,20.9,1.18,65.7,3.71,1.13,0.19,11.9,2.03,1.39,0.028,0.95,0.019,6.29,0.13,91.4,1.85,54.0,9.22,36.2,13.4,36.4,4.87,35.9,1.75,6.64,0.32,11.6,0.56,45.8,2.23,5.31,0.71,15.0,2.01,5.23,0.11,0.67,0.014,4.11,0.082,90.0,1.81,43.3,5.80,
C2 ID93_2.fcs,100,63.1,n/a,95.2,n/a,90.8,100,41.4,41.4,46.0,19.1,35.1,6.69,10.5,0.70,2.65,0.18,18.3,1.23,68.5,4.58,0.83,0.16,11.2,2.13,1.36,0.029,0.71,0.015,3.64,0.078,94.3,2.01,52.9,10.1,37.0,15.3,42.0,6.45,42.9,2.77,6.21,0.40,10.8,0.69,40.1,2.58,4.11,0.63,13.4,2.06,3.98,0.082,0.52,0.011,3.51,0.072,92.0,1.90,40.4,6.20,
C3 ID93_3.fcs,100,60.3,n/a,95.3,n/a,89.9,100,41.3,41.3,54.7,22.6,35.9,8.11,12.3,1.00,3.37,0.27,16.4,1.33,67.9,5.50,0.76,0.17,10.8,2.43,1.79,0.043,0.54,0.013,4.56,0.11,93.1,2.26,52.6,11.9,30.9,12.7,43.0,5.48,44.1,2.41,7.32,0.40,8.27,0.45,40.3,2.21,4.71,0.60,17.0,2.17,2.85,0.062,0.45,9.75E-3,2.50,0.054,94.2,2.04,35.3,4.50,
C4 ID93_4.fcs,100,62.9,n/a,96.5,n/a,92.0,100,39.2,39.2,55.6,21.8,35.9,7.82,14.4,1.13,2.89,0.23,15.1,1.18,67.6,5.29,0.86,0.19,10.9,2.37,1.52,0.036,0.45,0.011,2.99,0.071,95.1,2.25,52.4,11.4,31.5,12.3,38.6,4.76,37.6,1.79,4.15,0.20,9.47,0.45,48.8,2.32,6.40,0.79,19.3,2.38,2.49,0.059,0.36,8.45E-3,2.36,0.056,94.8,2.25,35.7,4.40,
D1 BCG+ID93_1.fcs,100,54.4,n/a,96.7,n/a,88.1,100,34.7,34.7,50.5,17.5,33.0,5.77,8.89,0.51,3.16,0.18,22.3,1.28,65.7,3.79,1.16,0.20,12.2,2.13,2.08,0.044,1.09,0.023,6.67,0.14,90.2,1.92,53.7,9.41,33.2,11.5,42.9,4.95,38.2,1.89,8.77,0.43,9.97,0.49,43.0,2.13,6.70,0.77,19.0,2.20,2.45,0.054,0.29,6.32E-3,1.29,0.028,96.0,2.11,31.4,3.62,
D2 BCG+ID93_2.fcs,100,60.6,n/a,96.6,n/a,90.3,100,40.4,40.4,54.9,22.2,34.7,7.70,8.93,0.69,1.77,0.14,13.6,1.05,75.7,5.83,0.90,0.20,13.3,2.95,0.72,0.021,0.50,0.015,4.61,0.14,94.2,2.78,51.1,11.3,32.4,13.1,44.4,5.81,49.3,2.86,5.20,0.30,7.72,0.45,37.8,2.19,2.79,0.36,17.2,2.25,2.27,0.051,0,0,1.89,0.043,95.8,2.15,35.6,4.66,
