,Freq. of Parent (%),Leukocytes | Freq. of Parent (%),Leukocytes | Freq. of LIVE (%),Leukocytes/Single Cells | Freq. of Parent (%),Leukocytes/Single Cells | Freq. of LIVE (%),Leukocytes/Single Cells/LIVE | Freq. of Parent (%),Leukocytes/Single Cells/LIVE | Freq. of LIVE (%),Leukocytes/Single Cells/LIVE/CD3+ | Freq. of Parent (%),Leukocytes/Single Cells/LIVE/CD3+ | Freq. of LIVE (%),Leukocytes/Single Cells/LIVE/CD3+/CD4+ | Freq. of Parent (%),Leukocytes/Single Cells/LIVE/CD3+/CD4+ | Freq. of LIVE (%),"Leukocytes/Single Cells/LIVE/CD3+/CD4+/Q1: CD62L- , CD44+ | Freq. of Parent (%)","Leukocytes/Single Cells/LIVE/CD3+/CD4+/Q1: CD62L- , CD44+ | Freq. of LIVE (%)","Leukocytes/Single Cells/LIVE/CD3+/CD4+/Q1: CD62L- , CD44+/Q1: PD1- , KLRG1+ | Freq. of Parent (%)","Leukocytes/Single Cells/LIVE/CD3+/CD4+/Q1: CD62L- , CD44+/Q1: PD1- , KLRG1+ | Freq. of LIVE (%)","Leukocytes/Single Cells/LIVE/CD3+/CD4+/Q1: CD62L- , CD44+/Q2: PD1+ , KLRG1+ | Freq. of Parent (%)","Leukocytes/Single Cells/LIVE/CD3+/CD4+/Q1: CD62L- , CD44+/Q2: PD1+ , KLRG1+ | Freq. of LIVE (%)","Leukocytes/Single Cells/LIVE/CD3+/CD4+/Q1: CD62L- , CD44+/Q3: PD1+ , KLRG1- | Freq. of Parent (%)","Leukocytes/Single Cells/LIVE/CD3+/CD4+/Q1: CD62L- , CD44+/Q3: PD1+ , KLRG1- | Freq. of LIVE (%)","Leukocytes/Single Cells/LIVE/CD3+/CD4+/Q1: CD62L- , CD44+/Q4: PD1- , KLRG1- | Freq. of Parent (%)","Leukocytes/Single Cells/LIVE/CD3+/CD4+/Q1: CD62L- , CD44+/Q4: PD1- , KLRG1- | Freq. of LIVE (%)","Leukocytes/Single Cells/LIVE/CD3+/CD4+/Q2: CD62L+ , CD44+ | Freq. of Parent (%)","Leukocytes/Single Cells/LIVE/CD3+/CD4+/Q2: CD62L+ , CD44+ | Freq. of LIVE (%)","Leukocytes/Single Cells/LIVE/CD3+/CD4+/Q3: CD62L+ , CD44- | Freq. of Parent (%)","Leukocytes/Single Cells/LIVE/CD3+/CD4+/Q3: CD62L+ , CD44- | Freq. of LIVE (%)","Leukocytes/Single Cells/LIVE/CD3+/CD4+/Q3: CD62L+ , CD44-/Q1: PD1- , KLRG1+ | Freq. of Parent (%)","Leukocytes/Single Cells/LIVE/CD3+/CD4+/Q3: CD62L+ , CD44-/Q1: PD1- , KLRG1+ | Freq. of LIVE (%)","Leukocytes/Single Cells/LIVE/CD3+/CD4+/Q3: CD62L+ , CD44-/Q2: PD1+ , KLRG1+ | Freq. of Parent (%)","Leukocytes/Single Cells/LIVE/CD3+/CD4+/Q3: CD62L+ , CD44-/Q2: PD1+ , KLRG1+ | Freq. of LIVE (%)","Leukocytes/Single Cells/LIVE/CD3+/CD4+/Q3: CD62L+ , CD44-/Q3: PD1+ , KLRG1- | Freq. of Parent (%)","Leukocytes/Single Cells/LIVE/CD3+/CD4+/Q3: CD62L+ , CD44-/Q3: PD1+ , KLRG1- | Freq. of LIVE (%)","Leukocytes/Single Cells/LIVE/CD3+/CD4+/Q3: CD62L+ , CD44-/Q4: PD1- , KLRG1- | Freq. of Parent (%)","Leukocytes/Single Cells/LIVE/CD3+/CD4+/Q3: CD62L+ , CD44-/Q4: PD1- , KLRG1- | Freq. of LIVE (%)","Leukocytes/Single Cells/LIVE/CD3+/CD4+/Q4: CD62L- , CD44- | Freq. of Parent (%)","Leukocytes/Single Cells/LIVE/CD3+/CD4+/Q4: CD62L- , CD44- | Freq. of LIVE (%)",Leukocytes/Single Cells/LIVE/CD3+/CD8+ | Freq. of Parent (%),Leukocytes/Single Cells/LIVE/CD3+/CD8+ | Freq. of LIVE (%),"Leukocytes/Single Cells/LIVE/CD3+/CD8+/Q1: CD62L- , CD44+ | Freq. of Parent (%)","Leukocytes/Single Cells/LIVE/CD3+/CD8+/Q1: CD62L- , CD44+ | Freq. of LIVE (%)","Leukocytes/Single Cells/LIVE/CD3+/CD8+/Q1: CD62L- , CD44+/Q1: PD1- , KLRG1+ | Freq. of Parent (%)","Leukocytes/Single Cells/LIVE/CD3+/CD8+/Q1: CD62L- , CD44+/Q1: PD1- , KLRG1+ | Freq. of LIVE (%)","Leukocytes/Single Cells/LIVE/CD3+/CD8+/Q1: CD62L- , CD44+/Q2: PD1+ , KLRG1+ | Freq. of Parent (%)","Leukocytes/Single Cells/LIVE/CD3+/CD8+/Q1: CD62L- , CD44+/Q2: PD1+ , KLRG1+ | Freq. of LIVE (%)","Leukocytes/Single Cells/LIVE/CD3+/CD8+/Q1: CD62L- , CD44+/Q3: PD1+ , KLRG1- | Freq. of Parent (%)","Leukocytes/Single Cells/LIVE/CD3+/CD8+/Q1: CD62L- , CD44+/Q3: PD1+ , KLRG1- | Freq. of LIVE (%)","Leukocytes/Single Cells/LIVE/CD3+/CD8+/Q1: CD62L- , CD44+/Q4: PD1- , KLRG1- | Freq. of Parent (%)","Leukocytes/Single Cells/LIVE/CD3+/CD8+/Q1: CD62L- , CD44+/Q4: PD1- , KLRG1- | Freq. of LIVE (%)","Leukocytes/Single Cells/LIVE/CD3+/CD8+/Q2: CD62L+ , CD44+ | Freq. of Parent (%)","Leukocytes/Single Cells/LIVE/CD3+/CD8+/Q2: CD62L+ , CD44+ | Freq. of LIVE (%)","Leukocytes/Single Cells/LIVE/CD3+/CD8+/Q3: CD62L+ , CD44- | Freq. of Parent (%)","Leukocytes/Single Cells/LIVE/CD3+/CD8+/Q3: CD62L+ , CD44- | Freq. of LIVE (%)","Leukocytes/Single Cells/LIVE/CD3+/CD8+/Q3: CD62L+ , CD44-/Q1: PD1- , KLRG1+ | Freq. of Parent (%)","Leukocytes/Single Cells/LIVE/CD3+/CD8+/Q3: CD62L+ , CD44-/Q1: PD1- , KLRG1+ | Freq. of LIVE (%)","Leukocytes/Single Cells/LIVE/CD3+/CD8+/Q3: CD62L+ , CD44-/Q2: PD1+ , KLRG1+ | Freq. of Parent (%)","Leukocytes/Single Cells/LIVE/CD3+/CD8+/Q3: CD62L+ , CD44-/Q2: PD1+ , KLRG1+ | Freq. of LIVE (%)","Leukocytes/Single Cells/LIVE/CD3+/CD8+/Q3: CD62L+ , CD44-/Q3: PD1+ , KLRG1- | Freq. of Parent (%)","Leukocytes/Single Cells/LIVE/CD3+/CD8+/Q3: CD62L+ , CD44-/Q3: PD1+ , KLRG1- | Freq. of LIVE (%)","Leukocytes/Single Cells/LIVE/CD3+/CD8+/Q3: CD62L+ , CD44-/Q4: PD1- , KLRG1- | Freq. of Parent (%)","Leukocytes/Single Cells/LIVE/CD3+/CD8+/Q3: CD62L+ , CD44-/Q4: PD1- , KLRG1- | Freq. of LIVE (%)","Leukocytes/Single Cells/LIVE/CD3+/CD8+/Q4: CD62L- , CD44- | Freq. of Parent (%)","Leukocytes/Single Cells/LIVE/CD3+/CD8+/Q4: CD62L- , CD44- | Freq. of LIVE (%)",
A7 Saline_1.fcs,100,67.6,n/a,93.4,n/a,70.9,100,23.8,23.8,43.4,10.3,32.8,3.39,5.21,0.18,4.48,0.15,44.8,1.52,45.5,1.55,7.54,0.78,38.8,4.01,0.22,8.70E-3,0.072,2.90E-3,2.67,0.11,97.0,3.89,20.8,2.15,34.1,8.12,4.62,0.38,5.79,0.022,5.79,0.022,70.3,0.26,18.1,0.068,3.35,0.27,70.8,5.75,0.30,0.017,0.23,0.013,2.77,0.16,96.7,5.56,21.3,1.73,
A8 Saline_2.fcs,100,76.9,n/a,95.2,n/a,77.5,100,26.0,26.0,52.1,13.6,34.3,4.65,5.37,0.25,4.44,0.21,39.1,1.82,51.1,2.38,5.65,0.77,26.2,3.56,0.59,0.021,0.59,0.021,6.43,0.23,92.4,3.29,33.8,4.59,29.5,7.68,6.62,0.51,12.9,0.065,9.77,0.050,55.3,0.28,22.1,0.11,1.72,0.13,58.5,4.50,0.87,0.039,0.15,6.54E-3,2.50,0.11,96.5,4.34,33.1,2.54,
A9 Saline_3.fcs,100,64.0,n/a,95.7,n/a,94.8,100,16.8,16.8,60.1,10.1,9.54,0.96,7.23,0.070,4.12,0.040,38.7,0.37,50.0,0.48,1.52,0.15,25.9,2.62,0.074,1.93E-3,0.037,9.67E-4,2.44,0.064,97.5,2.55,63.0,6.35,11.8,1.99,2.72,0.054,14.3,7.73E-3,7.14,3.87E-3,44.6,0.024,33.9,0.018,0.58,0.012,48.3,0.96,0.91,8.70E-3,0.20,1.93E-3,2.62,0.025,96.3,0.92,48.4,0.96,
A10 Saline_4.fcs,100,69.2,n/a,94.9,n/a,70.4,100,24.2,24.2,48.1,11.6,38.7,4.51,6.60,0.30,6.35,0.29,45.2,2.04,41.9,1.89,6.37,0.74,32.2,3.75,0.15,5.73E-3,0.19,7.16E-3,3.63,0.14,96.0,3.60,22.7,2.65,30.1,7.29,5.62,0.41,8.04,0.033,8.04,0.033,59.8,0.24,24.1,0.099,1.38,0.10,63.2,4.60,0.68,0.032,0.093,4.30E-3,2.12,0.097,97.1,4.47,29.8,2.17,
B7 BCG_1.fcs,100,67.1,n/a,95.2,n/a,76.5,100,29.7,29.7,49.6,14.7,61.0,8.99,29.6,2.66,8.42,0.76,15.8,1.42,46.2,4.15,3.54,0.52,18.7,2.75,0.72,0.020,0.34,9.22E-3,2.44,0.067,96.5,2.65,16.7,2.47,31.9,9.47,3.38,0.32,23.9,0.076,10.3,0.033,14.8,0.047,51.0,0.16,1.46,0.14,64.0,6.06,1.28,0.078,0.20,0.012,1.65,0.10,96.9,5.87,31.2,2.95,
B8 BCG_2.fcs,100,85.9,n/a,95.2,n/a,90.5,100,25.7,25.7,44.0,11.3,37.7,4.26,24.0,1.02,4.67,0.20,14.8,0.63,56.6,2.41,7.64,0.86,41.3,4.66,0.39,0.018,0.12,5.66E-3,0.90,0.042,98.6,4.60,13.4,1.51,44.7,11.5,2.24,0.26,38.3,0.098,2.64,6.79E-3,8.81,0.023,50.2,0.13,1.06,0.12,73.5,8.44,1.33,0.11,0.054,4.52E-3,0.64,0.054,98.0,8.26,23.2,2.67,
B9 BCG_3.fcs,100,66.9,n/a,96.0,n/a,70.1,100,37.3,37.3,57.9,21.6,71.2,15.4,23.5,3.62,4.31,0.66,13.1,2.02,59.0,9.07,2.26,0.49,8.14,1.76,0.49,8.56E-3,0.41,7.13E-3,2.03,0.036,97.1,1.71,18.4,3.98,26.2,9.77,3.34,0.33,25.3,0.083,4.37,0.014,13.1,0.043,57.2,0.19,2.32,0.23,61.2,5.98,1.69,0.10,0.36,0.021,1.45,0.087,96.5,5.77,33.1,3.24,
B10 BCG_4.fcs,100,65.9,n/a,96.1,n/a,69.3,100,38.9,38.9,59.1,23.0,66.7,15.3,22.7,3.47,7.22,1.11,15.9,2.44,54.2,8.30,3.02,0.69,14.5,3.34,0.35,0.012,0.35,0.012,1.78,0.059,97.5,3.26,15.8,3.63,24.8,9.65,6.23,0.60,38.1,0.23,7.95,0.048,13.3,0.080,40.7,0.24,1.68,0.16,67.2,6.48,1.41,0.091,0.27,0.017,1.83,0.12,96.5,6.26,24.9,2.40,
C7 ID93_1.fcs,100,43.4,n/a,97.4,n/a,75.7,100,29.4,29.4,43.9,12.9,79.7,10.3,15.2,1.56,12.4,1.28,33.8,3.47,38.6,3.97,0.55,0.071,4.40,0.57,0,0,12.5,0.071,12.5,0.071,75.0,0.43,15.4,1.98,28.9,8.50,6.67,0.57,0,0,25.0,0.14,37.5,0.21,37.5,0.21,3.33,0.28,31.7,2.69,13.2,0.35,0,0,0,0,86.8,2.34,58.3,4.96,
C8 ID93_2.fcs,100,65.4,n/a,93.6,n/a,79.4,100,26.0,26.0,43.0,11.2,48.3,5.40,7.38,0.40,4.33,0.23,42.9,2.32,45.4,2.45,5.30,0.59,25.8,2.88,0.72,0.021,0.090,2.60E-3,3.47,0.10,95.7,2.76,20.7,2.31,30.6,7.98,2.87,0.23,15.9,0.036,7.39,0.017,40.3,0.092,36.4,0.083,1.43,0.11,67.5,5.39,4.85,0.26,0.096,5.20E-3,2.97,0.16,92.1,4.96,28.2,2.25,
C9 ID93_3.fcs,100,60.6,n/a,94.3,n/a,77.4,100,28.4,28.4,46.9,13.3,40.1,5.34,3.16,0.17,2.62,0.14,44.8,2.39,49.4,2.64,4.49,0.60,29.9,3.98,0.33,0.013,0.099,3.93E-3,2.92,0.12,96.7,3.85,25.5,3.39,27.9,7.93,1.09,0.086,12.1,0.010,13.6,0.012,47.0,0.041,27.3,0.024,0.51,0.041,67.3,5.33,1.13,0.060,0.29,0.016,4.61,0.25,94.0,5.01,31.1,2.47,
C10 ID93_4.fcs,100,89.7,n/a,95.9,n/a,93.2,100,46.8,46.8,50.0,23.4,12.1,2.84,17.9,0.51,4.28,0.12,21.4,0.61,56.4,1.60,3.67,0.86,67.2,15.7,0.29,0.046,0.056,8.76E-3,0.72,0.11,98.9,15.6,17.0,3.97,35.9,16.8,0.12,0.020,11.1,2.19E-3,22.2,4.38E-3,27.8,5.47E-3,38.9,7.66E-3,0.36,0.060,90.2,15.1,0.53,0.081,0.014,2.19E-3,0.66,0.100,98.8,15.0,9.36,1.57,
D7 BCG+ID93_1.fcs,100,65.3,n/a,96.2,n/a,72.7,100,43.4,43.4,63.4,27.5,79.9,22.0,28.5,6.27,4.00,0.88,12.0,2.64,55.5,12.2,2.01,0.55,6.69,1.84,0.74,0.014,0.41,7.62E-3,1.82,0.034,97.0,1.79,11.4,3.14,21.8,9.48,8.98,0.85,5.73,0.049,5.20,0.044,17.9,0.15,71.1,0.61,2.03,0.19,59.8,5.67,1.02,0.058,0.24,0.014,2.15,0.12,96.6,5.48,29.2,2.76,
