"organ","count_date","day","who_plated","who_counted","group","sex","mouse","dilution","CFUs","CFUs_whole"
"lung","""Dec 28 2023""","14","FL","FL","Saline","female","1",2,61,183000
"lung","""Feb 28 2023""","56","FL","FL","Saline","female","1",2,55,165000
"lung","""Mar 22 24""","90","FL","FL","Saline","female","1",3,4,120000
"lung","""Dec 28 2023""","14","FL","FL","Saline","male","1",3,41,1230000
"lung","""Feb 28 2023""","56","FL","FL","Saline","male","1",2,85,255000
"lung","""Mar 22 24""","90","FL","FL","Saline","male","1",3,9,270000
"lung","""Dec 28 2023""","14","FL","FL","Saline","female","2",3,17,510000
"lung","""Feb 28 2023""","56","FL","FL","Saline","female","2",2,40,120000
"lung","""Mar 22 24""","90","FL","FL","Saline","female","2",3,8,240000
"lung","""Dec 28 2023""","14","FL","FL","Saline","male","2",3,24,720000
"lung","""Feb 28 2023""","56","FL","FL","Saline","male","2",3,19,570000
"lung","""Mar 22 24""","90","FL","FL","Saline","male","2",3,12,360000
"lung","""Dec 28 2023""","14","FL","FL","Saline","female","3",3,12,360000
"lung","""Feb 28 2023""","56","FL","FL","Saline","female","3",2,45,135000
"lung","""Mar 22 24""","90","FL","FL","Saline","female","3",3,3,90000
"lung","""Dec 28 2023""","14","FL","FL","Saline","male","3",3,56,1680000
"lung","""Feb 28 2023""","56","FL","FL","Saline","male","3",2,84,252000
"lung","""Mar 22 24""","90","FL","FL","Saline","male","3",3,19,570000
"lung","""Dec 28 2023""","14","FL","FL","Saline","female","4",3,26,780000
"lung","""Feb 28 2023""","56","FL","FL","Saline","female","4",2,68,204000
"lung","""Mar 22 24""","90","FL","FL","Saline","female","4",3,4,120000
"lung","""Dec 28 2023""","14","FL","FL","Saline","male","4",2,98,294000
"lung","""Feb 28 2023""","56","FL","FL","Saline","male","4",3,13,390000
"lung","""Dec 28 2023""","14","FL","FL","BCG","female","1",2,52,156000
"lung","""Feb 28 2023""","56","FL","FL","BCG","female","1",2,32,96000
"lung","""Mar 22 24""","90","FL","FL","BCG","female","1",3,5,150000
"lung","""Feb 28 2023""","56","FL","FL","BCG","male","1",2,58,174000
"lung","""Mar 22 24""","90","FL","FL","BCG","male","1",3,4,120000
"lung","""Dec 28 2023""","14","FL","FL","BCG","female","2",2,46,138000
"lung","""Feb 28 2023""","56","FL","FL","BCG","female","2",2,28,84000
"lung","""Mar 22 24""","90","FL","FL","BCG","female","2",3,17,510000
"lung","""Feb 28 2023""","56","FL","FL","BCG","male","2",2,90,270000
"lung","""Mar 22 24""","90","FL","FL","BCG","male","2",3,13,390000
"lung","""Dec 28 2023""","14","FL","FL","BCG","female","3",2,51,153000
"lung","""Feb 28 2023""","56","FL","FL","BCG","female","3",2,30,90000
"lung","""Mar 22 24""","90","FL","FL","BCG","female","3",3,14,420000
"lung","""Dec 28 2023""","14","FL","FL","BCG","male","3",2,84,252000
"lung","""Dec 28 2023""","14","FL","FL","BCG","female","4",2,38,114000
"lung","""Feb 28 2023""","56","FL","FL","BCG","female","4",2,51,153000
"lung","""Mar 22 24""","90","FL","FL","BCG","female","4",3,2,60000
"lung","""Dec 28 2023""","14","FL","FL","BCG","male","4",3,14,420000
"lung","""Feb 28 2023""","56","FL","FL","BCG","male","4",2,53,159000
"lung","""Mar 22 24""","90","FL","FL","BCG","male","4",3,11,330000
"lung","""Dec 28 2023""","14","FL","FL","ID93-GLA-SE","female","1",2,78,234000
"lung","""Feb 28 2023""","56","FL","FL","ID93-GLA-SE","female","1",2,39,117000
"lung","""Mar 22 24""","90","FL","FL","ID93-GLA-SE","female","1",3,6,180000
"lung","""Dec 28 2023""","14","FL","FL","ID93-GLA-SE","male","1",3,43,1290000
"lung","""Feb 28 2023""","56","FL","FL","ID93-GLA-SE","male","1",3,13,390000
"lung","""Mar 22 24""","90","FL","FL","ID93-GLA-SE","male","1",3,27,810000
"lung","""Dec 28 2023""","14","FL","FL","ID93-GLA-SE","female","2",2,62,186000
"lung","""Feb 28 2023""","56","FL","FL","ID93-GLA-SE","female","2",2,36,108000
"lung","""Mar 22 24""","90","FL","FL","ID93-GLA-SE","female","2",3,18,540000
"lung","""Dec 28 2023""","14","FL","FL","ID93-GLA-SE","male","2",2,68,204000
"lung","""Feb 28 2023""","56","FL","FL","ID93-GLA-SE","male","2",2,100,3e+05
"lung","""Mar 22 24""","90","FL","FL","ID93-GLA-SE","male","2",3,6,180000
"lung","""Dec 28 2023""","14","FL","FL","ID93-GLA-SE","female","3",3,64,1920000
"lung","""Mar 22 24""","90","FL","FL","ID93-GLA-SE","female","3",3,6,180000
"lung","""Dec 28 2023""","14","FL","FL","ID93-GLA-SE","male","3",3,29,870000
"lung","""Feb 28 2023""","56","FL","FL","ID93-GLA-SE","male","3",3,16,480000
"lung","""Mar 22 24""","90","FL","FL","ID93-GLA-SE","male","3",3,4,120000
"lung","""Dec 28 2023""","14","FL","FL","ID93-GLA-SE","female","4",2,72,216000
"lung","""Feb 28 2023""","56","FL","FL","ID93-GLA-SE","female","4",2,68,204000
"lung","""Mar 22 24""","90","FL","FL","ID93-GLA-SE","female","4",3,3,90000
"lung","""Dec 28 2023""","14","FL","FL","ID93-GLA-SE","male","4",2,89,267000
"lung","""Mar 22 24""","90","FL","FL","ID93-GLA-SE","male","4",4,21,6300000
"lung","""Mar 22 24""","90","FL","FL","ID93-GLA-SE","male","5",3,16,480000
"lung","""Dec 28 2023""","14","FL","FL","BCG+ID93-GLA-SE","female","1",2,37,111000
"lung","""Feb 28 2023""","56","FL","FL","BCG+ID93-GLA-SE","female","1",2,13,39000
"lung","""Mar 22 24""","90","FL","FL","BCG+ID93-GLA-SE","female","1",3,1,30000
"lung","""Dec 28 2023""","14","FL","FL","BCG+ID93-GLA-SE","male","1",2,30,90000
"lung","""Feb 28 2023""","56","FL","FL","BCG+ID93-GLA-SE","male","1",3,13,390000
"lung","""Mar 22 24""","90","FL","FL","BCG+ID93-GLA-SE","male","1",3,12,360000
"lung","""Dec 28 2023""","14","FL","FL","BCG+ID93-GLA-SE","female","2",2,42,126000
"lung","""Feb 28 2023""","56","FL","FL","BCG+ID93-GLA-SE","female","2",2,24,72000
"lung","""Dec 28 2023""","14","FL","FL","BCG+ID93-GLA-SE","male","2",2,53,159000
"lung","""Feb 28 2023""","56","FL","FL","BCG+ID93-GLA-SE","male","2",3,21,630000
"lung","""Mar 22 24""","90","FL","FL","BCG+ID93-GLA-SE","male","2",3,3,90000
"lung","""Dec 28 2023""","14","FL","FL","BCG+ID93-GLA-SE","female","3",2,24,72000
"lung","""Feb 28 2023""","56","FL","FL","BCG+ID93-GLA-SE","female","3",2,83,249000
"lung","""Mar 22 24""","90","FL","FL","BCG+ID93-GLA-SE","female","3",3,2,60000
"lung","""Dec 28 2023""","14","FL","FL","BCG+ID93-GLA-SE","male","3",2,42,126000
"lung","""Feb 28 2023""","56","FL","FL","BCG+ID93-GLA-SE","male","3",2,72,216000
"lung","""Dec 28 2023""","14","FL","FL","BCG+ID93-GLA-SE","female","4",2,78,234000
"lung","""Feb 28 2023""","56","FL","FL","BCG+ID93-GLA-SE","female","4",2,30,90000
"lung","""Mar 22 24""","90","FL","FL","BCG+ID93-GLA-SE","female","4",5,10,3e+07
"lung","""Dec 28 2023""","14","FL","FL","BCG+ID93-GLA-SE","male","4",2,90,270000
"lung","""Feb 28 2023""","56","FL","FL","BCG+ID93-GLA-SE","male","4",3,6,180000
"lung","""Mar 22 24""","90","FL","FL","BCG+ID93-GLA-SE","male","4",3,8,240000
"spleen","""Dec 28 2023""","14","FL","FL","Saline","female","1",0,28,840
"spleen","""Feb 28 2023""","56","FL","FL","Saline","female","1",2,36,108000
"spleen","""Mar 22 24""","90","FL","FL","Saline","female","1",2,7,21000
"spleen","""Dec 28 2023""","14","FL","FL","Saline","male","1",1,42,12600
"spleen","""Feb 28 2023""","56","FL","FL","Saline","male","1",2,37,111000
"spleen","""Mar 22 24""","90","FL","FL","Saline","male","1",2,34,102000
"spleen","""Dec 28 2023""","14","FL","FL","Saline","female","2",0,15,450
"spleen","""Feb 28 2023""","56","FL","FL","Saline","female","2",2,53,159000
"spleen","""Mar 22 24""","90","FL","FL","Saline","female","2",2,25,75000
"spleen","""Dec 28 2023""","14","FL","FL","Saline","male","2",0,41,1230
"spleen","""Feb 28 2023""","56","FL","FL","Saline","male","2",2,15,45000
"spleen","""Mar 22 24""","90","FL","FL","Saline","male","2",2,31,93000
"spleen","""Dec 28 2023""","14","FL","FL","Saline","female","3",0,90,2700
"spleen","""Feb 28 2023""","56","FL","FL","Saline","female","3",2,36,108000
"spleen","""Mar 22 24""","90","FL","FL","Saline","female","3",2,31,93000
"spleen","""Feb 28 2023""","56","FL","FL","Saline","male","3",2,12,36000
"spleen","""Mar 22 24""","90","FL","FL","Saline","male","3",2,23,69000
"spleen","""Dec 28 2023""","14","FL","FL","Saline","female","4",0,62,1860
"spleen","""Feb 28 2023""","56","FL","FL","Saline","female","4",2,72,216000
"spleen","""Mar 22 24""","90","FL","FL","Saline","female","4",2,18,54000
"spleen","""Dec 28 2023""","14","FL","FL","Saline","male","4",0,5,150
"spleen","""Feb 28 2023""","56","FL","FL","Saline","male","4",2,34,102000
"spleen","""Dec 28 2023""","14","FL","FL","BCG","female","1",0,71,2130
"spleen","""Feb 28 2023""","56","FL","FL","BCG","female","1",2,22,66000
"spleen","""Mar 22 24""","90","FL","FL","BCG","female","1",2,10,30000
"spleen","""Feb 28 2023""","56","FL","FL","BCG","male","1",2,6,18000
"spleen","""Mar 22 24""","90","FL","FL","BCG","male","1",2,22,66000
"spleen","""Dec 28 2023""","14","FL","FL","BCG","female","2",1,24,7200
"spleen","""Feb 28 2023""","56","FL","FL","BCG","female","2",2,8,24000
"spleen","""Mar 22 24""","90","FL","FL","BCG","female","2",2,43,129000
"spleen","""Feb 28 2023""","56","FL","FL","BCG","male","2",2,19,57000
"spleen","""Mar 22 24""","90","FL","FL","BCG","male","2",2,2,6000
"spleen","""Dec 28 2023""","14","FL","FL","BCG","female","3",0,2,60
"spleen","""Feb 28 2023""","56","FL","FL","BCG","female","3",2,36,108000
"spleen","""Mar 22 24""","90","FL","FL","BCG","female","3",2,33,99000
"spleen","""Dec 28 2023""","14","FL","FL","BCG","male","3",0,28,840
"spleen","""Dec 28 2023""","14","FL","FL","BCG","female","4",0,2,60
"spleen","""Feb 28 2023""","56","FL","FL","BCG","female","4",2,5,15000
